book_name,public_info,rating_num,comment_num
坏种,[美]  威廉·马奇、William March / 姚向辉 / 上海译文出版社 / 2009-9 / 20.00元,7.9,(404人评价)
站台,贾樟柯、赵静（编） / 山东画报出版社 / 2010-03 / 29.00,8.3,(324人评价)
妙趣横生的算法,杨峰 / 清华大学出版社 / 2010-4 / 49.00元,7.5,(41人评价)
C++反汇编与逆向分析技术揭秘,钱林松、赵海旭 / 机械工业出版社华章公司 / 2011-10 / 69.00元,8.2,(78人评价)
大规模C++程序设计,John Lakos / 李师贤、明仲、曾新红、刘显明 等 / 中国电力出版社 / 2003.9 / 72.00,7.8,(116人评价)
Linux高性能服务器编程,游双 / 机械工业出版社 / 2013-5-1 / CNY 69.00,8.1,(118人评价)
代码大全（第2版）,[美] 史蒂夫·迈克康奈尔 / 金戈、汤凌、陈硕、张菲 译、裘宗燕 审校 / 电子工业出版社 / 2006-3 / 128.00元,9.3,(3327人评价)
没有约束的现代性,(美)沃格林 / 张新樟、刘景联 / 华东师范大学出版社 / 2007-4 / 24.80元,8.0,(136人评价)
缠足,高彦颐 / 苗延威 / 江苏人民出版社 / 2009-03-01 / 33.00,8.1,(195人评价)
行话,[美] 菲利普·罗斯 / 蒋道超 / 译林出版社 / 2010-2 / 25.00元,8.0,(154人评价)
一个女人,[匈牙利]  艾斯特哈兹•彼得 / 余泽民 / 上海人民出版社 / 2009-1 / 22.00,7.0,(231人评价)
文化与无政府状态,[英]马修·阿诺德 / 韩敏中 / 生活·读书·新知三联书店 / 2008-10 / 24.00元,8.4,(207人评价)
UNIX环境高级编程,W.Richard Stevens、Stephen A.Rago / 尤晋元、张亚英、戚正伟 / 人民邮电出版社 / 2006年 / 99.00元,9.4,(2090人评价)
马蒂斯,(俄罗斯)亚历山大·伊利切夫斯基 / 张俊翔 薛冉冉 刘彤 / 译林出版社 / 2009-6 / 25.00元,8.4,(25人评价)
测试驱动的嵌入式C语言开发,James W. Grenning / 尹哲 / 机械工业出版社 / 2012-1 / 49.00元,7.5,(22人评价)
UNIX操作系统设计,Maurice J.Bach / 陈葆珏 / 机械工业出版社 / 2000-4 / 35.00元,9.0,(144人评价)
操作系统设计与实现（上册）,Andrew S. Tanenbaum、Albert S. Woodhull / 陈渝、谌卫军 / 电子工业出版社 / 2007-3 / 49.80元,9.2,(192人评价)
阿巴拉岛,（美）克里夫・巴克 / 马爱农 / 接力出版社 / 2005-01 / 39.00,8.9,(211人评价)
21st Century C,Ben Klemens / O'Reilly Media / 2012-12 / USD 29.99,7.3,(29人评价)
在宪政舞台上：美国最高法院的历史轨迹,任东来 等 / 中国法制 / 2007-5 / 40.00元,8.3,(122人评价)
疯雅书中事,[美] 尼古拉斯·A. 巴斯贝恩 / 卢葳 / 生活·读书·新知三联书店 / 2010-11 / 26.00元,7.6,(140人评价)
电影和历史,马克·费罗 (Marc Ferro) / 北京大学出版社 / 2008-6-1 / 28.00元,7.4,(58人评价)
大河尽头 下卷,李永平 / 上海人民出版社 / 2012-3 / 36.00元,8.0,(178人评价)
古代与现代的争执,林国华、王恒 / 上海人民出版社 / 2009年04月 / 30.00元,8.1,(25人评价)
小提琴,安妮﹒赖斯 / 译林出版社 / 1999-12 / 15.20元,7.9,(50人评价)
C程序设计教程学习辅导,谭浩强 / 清华大学出版社 / 2007-10 / 28.00元,7.0,(11人评价)
C++ Concurrency in Action,Anthony Williams / Manning Publications / 2012-2-28 / USD 69.99,8.8,(113人评价)
教授与疯子,[英]西蒙·温切斯特 / 杨传纬 / 上海世纪出版集团 北京世纪文景 / 2009-8 / 22.00元,8.2,(423人评价)
赫尔佐格谈赫尔佐格,（英）保罗·克罗宁 / 钟轶南、黄渊 / 文汇出版社 / 2008-01-01 / 37.00元,9.3,(574人评价)
最高虚构笔记,（美）华莱士·史蒂文斯 / 陈东飚、张枣 / 华东师范大学出版社 / 2009-03 / 28.00元,8.4,(407人评价)
Inside SQLite,"Sibsankar Haldar / O'Reilly Media, Inc., / 2007",7.1,(11人评价)
女儿墙,翟永明 / 鹭江 / 2010-6 / 25.00元,7.6,(44人评价)
秦时明月-万里长城,溫世仁/原著、張華芝、黃小貓/文字改寫 / 明日工作室 / 2009-11-24,8.2,(71人评价)
戈达尔,(美)科林·麦凯布 / 韩玲、张晓丽、薛妍 / 新星出版社 / 2008-3 / 38.00,8.3,(321人评价)
中国古代文学中的同性恋书写研究,施晔 / 上海人民出版社 / 2008-12 / 46.00元,8.1,(213人评价)
C程序性能优化,片山善夫 / 何本华 居福国、居福国 / 人民邮电出版社 / 2013-1-1 / 29.00元,6.6,(23人评价)
梦与日记,Ewa Mazierska、Laura Rascaroli / 穆青、聂阳阳 / 上海人民出版社 / 2009 / 25.00元,7.7,(82人评价)
More Effective C++中文版,Scott meyers / 侯捷 / 中国电力出版社 / 2003-3 / 50.00元,8.9,(446人评价)
Advanced Linux Programming,CodeSourcery LLC、Mark L. Mitchell、Alex Samuel、Jeffrey Oldham / New Riders / 2001 / USD 45.00,8.3,(61人评价)
